,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 21, 2026 - COT Leveraged Funds >>> valid for trades from July 27, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
CAD,"100,000","266,847","19,282,364,220","81,800","5,910,868,000","16,778","1,677,800,000","65,022","6,502,200,000","-48,244",-18.08%,-58.98%,-0.47%,"-4,824,400,000","-3,486,111,440",,19.00%,19.00%,18.40%,18.00%,17.40%,17.40%,15.00%,
AUD,"100,000","154,790","10,291,987,100","72,777","4,838,942,730","34,848","3,484,800,000","37,929","3,792,900,000","-3,081",-1.99%,-4.23%,3.51%,"-308,100,000","-204,855,690",,GBPAUD,CHFJPY,AUDNZD,AUDUSD,EURAUD,USDJPY,NZDJPY,
NZD,"100,000","49,146","2,925,857,964","21,957","1,307,188,038","8,315","831,500,000","13,642","1,364,200,000","-5,327",-10.84%,-24.26%,-17.08%,"-532,700,000","-317,137,618",,13.00%,11.50%,10.00%,9.00%,9.00%,8.40%,7.40%,
CHF,"125,000","71,730","11,254,257,675","14,973","2,349,226,268","6,282","785,250,000","8,691","1,086,375,000","-2,409",-3.36%,-16.09%,-12.28%,"-301,125,000","-377,966,077",,AUDCHF,NZDUSD,USDCHF,EURGBP,NZDCHF,CADJPY,CADCHF,
JPY,"12,500,000","299,620","25,355,342,500","130,074","11,007,512,250","39,642","495,525,000,000","90,432","1,130,400,000,000","-50,790",-16.95%,-39.05%,-5.62%,"-634,875,000,000","-4,298,103,750",,5.90%,-1.10%,-3.00%,-4.00%,-4.10%,-10.00%,-21.40%,
SP500 (E-MINI),"265,000","2,435,899","645,513,235,000","716,946","189,990,690,000","120,980","32,059,700,000","595,966","157,930,990,000",-474986,-19.50%,-66.25%,-3.54%,"-125,871,290,000","-125,871,290,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","351,421","130,025,770,000","174,184","64,448,080,000","75,090","27,783,300,000","99,094","36,664,780,000",-24004,-6.83%,-13.78%,1.23%,"-8,881,480,000","-8,881,480,000",,,,,,,,,
US30 (YM),"200,000","98,350","19,670,000,000","28,378","5,675,600,000","6,596","1,319,200,000","21,782","4,356,400,000",-15186,-15.44%,-53.51%,-3.30%,"-3,037,200,000","-3,037,200,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of September 9, 2025 - COT Leveraged Funds >>> valid for trades from September 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"97,450","38,029","3,705,926,050","34,746","3,385,997,700","18,991","1,850,672,950","15,755","1,535,324,750","3,236",8.51%,9.31%,12.54%,"315,348,200","315,348,200",,EURCAD,GBPCAD,USDCAD,EURJPY,NZDCAD,AUDCAD,GBPJPY,
EUR,"125,000","878,104","128,567,597,160","175,312","25,668,306,480","103,962","12,995,250,000","71,350","8,918,750,000","32,612",3.71%,18.60%,2.50%,"4,076,500,000","4,774,885,980",,38.60%,37.90%,33.90%,26.00%,25.70%,25.40%,25.30%,
GBP,"62,500","322,879","27,228,587,869","98,383","8,296,699,879","57,669","3,604,312,500","40,714","2,544,625,000","16,955",5.25%,17.23%,-2.70%,"1,059,687,500","1,429,825,747",,USDJPY,CHFJPY,EURAUD,NZDJPY,EURNZD,AUDJPY,GBPAUD,
CAD,"100,000","249,304","18,021,188,944","80,917","5,849,166,262","16,785","1,678,500,000","64,132","6,413,200,000","-47,347",-18.99%,-58.51%,1.70%,"-4,734,700,000","-3,422,525,242",,21.40%,14.80%,13.20%,13.10%,12.90%,12.80%,12.50%,
AUD,"100,000","208,092","13,639,390,140","61,418","4,025,642,810","28,332","2,833,200,000","33,086","3,308,600,000","-4,754",-2.28%,-7.74%,10.35%,"-475,400,000","-311,600,930",,GBPNZD,EURCHF,GBPCHF,USDCHF,EURUSD,GBPUSD,EURGBP,
NZD,"100,000","71,602","4,216,426,974","26,106","1,537,304,022","12,116","1,211,600,000","13,990","1,399,000,000","-1,874",-2.62%,-7.18%,-8.22%,"-187,400,000","-110,354,238",,12.20%,11.20%,10.50%,6.60%,4.60%,4.00%,0.70%,
CHF,"125,000","105,100","16,438,691,000","13,322","2,083,694,020","6,407","800,875,000","6,915","864,375,000",-508,-0.48%,-3.81%,-14.86%,"-63,500,000","-79,456,280",,AUDNZD,NZDCHF,AUDCHF,NZDUSD,AUDUSD,CADJPY,CADCHF,
JPY,"12,500,000","410,799","34,609,815,750","124,608","10,498,224,000","41,473","518,412,500,000","83,135","1,039,187,500,000","-41,662",-10.14%,-33.43%,9.53%,"-520,775,000,000","-3,510,023,500",,-0.30%,-1.70%,-2.00%,-8.20%,-8.50%,-12.50%,-27.30%,
SP500 (E-MINI),"265,000","2,035,158","539,316,870,000","664,339","176,049,835,000","123,869","32,825,285,000","540,470","143,224,550,000",-416601,-20.47%,-62.71%,-3.90%,"-110,399,265,000","-110,399,265,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","296,970","109,878,900,000","166,667","61,666,790,000","70,821","26,203,770,000","95,846","35,463,020,000",-25025,-8.43%,-15.01%,-2.34%,"-9,259,250,000","-9,259,250,000",,,,,,,,,
US30 (YM),"200,000","87,037","17,407,400,000","28,718","5,743,600,000","7,149","1,429,800,000","21,569","4,313,800,000",-14420,-16.57%,-50.21%,-7.67%,"-2,884,000,000","-2,884,000,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of September 2, 2025 - COT Leveraged Funds >>> valid for trades from September 8, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,400","31,502","3,099,796,800","23,471","2,309,546,400","11,357","1,117,528,800","12,114","1,192,017,600",-757,-2.40%,-3.23%,3.97%,"-74,488,800","-74,488,800",,GBPCAD,EURCAD,GBPJPY,NZDCAD,EURJPY,USDCAD,CHFJPY,
EUR,"125,000","845,820","123,614,478,450","184,349","26,942,145,478","107,011","13,376,375,000","77,338","9,667,250,000","29,673",3.51%,16.10%,-2.51%,"3,709,125,000","4,336,634,768",,40.10%,38.20%,31.40%,30.60%,29.50%,28.50%,27.00%,
GBP,"62,500","226,437","19,110,999,754","108,777","9,180,642,829","65,228","4,076,750,000","43,549","2,721,812,500","21,679",9.57%,19.93%,-2.68%,"1,354,937,500","1,829,680,501",,NZDJPY,AUDCAD,USDJPY,GBPAUD,EURAUD,AUDJPY,GBPUSD,
CAD,"100,000","225,322","16,400,963,058","73,121","5,322,404,469","14,546","1,454,600,000","58,575","5,857,500,000","-44,029",-19.54%,-60.21%,-12.14%,"-4,402,900,000","-3,204,826,881",,22.00%,21.10%,19.90%,19.00%,17.10%,12.40%,11.60%,
AUD,"100,000","185,048","12,108,800,928","57,215","3,743,920,740","23,431","2,343,100,000","33,784","3,378,400,000","-10,353",-5.59%,-18.09%,-10.75%,"-1,035,300,000","-677,458,908",,EURUSD,GBPNZD,EURNZD,GBPCHF,EURCHF,NZDUSD,EURGBP,
NZD,"100,000","55,035","3,245,358,915","27,347","1,612,625,243","13,816","1,381,600,000","13,531","1,353,100,000",285,0.52%,1.04%,1.87%,"28,500,000","16,806,165",,9.70%,9.40%,7.50%,4.40%,2.50%,2.10%,-1.90%,
CHF,"125,000","80,906","12,631,449,250","12,809","1,999,805,125","7,112","889,000,000","5,697","712,125,000","1,415",1.75%,11.05%,10.44%,"176,875,000","220,916,875",,NZDCHF,USDCHF,AUDUSD,CADJPY,AUDNZD,AUDCHF,CADCHF,
JPY,"12,500,000","414,249","35,211,165,000","131,383","11,167,555,000","37,470","468,375,000,000","93,913","1,173,912,500,000","-56,443",-13.63%,-42.96%,-7.48%,"-705,537,500,000","-4,797,655,000",,-5.00%,-7.10%,-7.40%,-8.60%,-9.60%,-14.60%,-35.60%,
SP500 (E-MINI),"265,000","1,997,661","529,380,165,000","649,963","172,240,195,000","133,854","35,471,310,000","516,109","136,768,885,000",-382255,-19.14%,-58.81%,3.12%,"-101,297,575,000","-101,297,575,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","282,221","104,421,770,000","146,992","54,387,040,000","64,181","23,746,970,000","82,811","30,640,070,000",-18630,-6.60%,-12.67%,-0.53%,"-6,893,100,000","-6,893,100,000",,,,,,,,,
US30 (YM),"200,000","82,004","16,400,800,000","22,459","4,491,800,000","6,452","1,290,400,000","16,007","3,201,400,000",-9555,-11.65%,-42.54%,-12.96%,"-1,911,000,000","-1,911,000,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of August 26, 2025 - COT Leveraged Funds >>> valid for trades from September 1, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,430","31,488","3,099,363,840","26,670","2,625,128,100","12,375","1,218,071,250","14,295","1,407,056,850","-1,920",-6.10%,-7.20%,10.79%,"-188,985,600","-188,985,600",,GBPCAD,EURCAD,GBPJPY,EURJPY,NZDCAD,USDCAD,AUDCAD,
EUR,"125,000","842,215","123,275,009,550","183,851","26,910,270,870","109,029","13,628,625,000","74,822","9,352,750,000","34,207",4.06%,18.61%,-0.39%,"4,275,875,000","5,006,878,590",,35.30%,33.30%,29.00%,27.00%,23.60%,20.40%,20.40%,
GBP,"62,500","219,906","18,569,824,729","104,600","8,832,881,625","64,127","4,007,937,500","40,473","2,529,562,500","23,654",10.76%,22.61%,1.43%,"1,478,375,000","1,997,447,246",,CHFJPY,NZDJPY,GBPAUD,GBPUSD,USDJPY,AUDJPY,EURAUD,
CAD,"100,000","227,180","16,428,067,340","75,185","5,436,852,905","19,521","1,952,100,000","55,664","5,566,400,000","-36,143",-15.91%,-48.07%,0.42%,"-3,614,300,000","-2,613,608,759",,18.00%,17.30%,15.00%,14.90%,14.10%,14.10%,13.00%,
AUD,"100,000","191,207","12,399,582,743","12,399,582,743","3,960,912,071","28,298","2,829,800,000","32,781","3,278,100,000","-4,483",-2.34%,-7.34%,0.34%,"-448,300,000","-290,718,067",,EURUSD,GBPNZD,GBPCHF,EURNZD,EURCHF,NZDUSD,AUDUSD,
NZD,"100,000","53,094","3,114,175,476","27,255","1,598,614,770","13,515","1,351,500,000","13,740","1,374,000,000",-225,-0.42%,-0.83%,17.50%,"-22,500,000","-13,197,150",,12.90%,11.70%,11.00%,9.70%,9.00%,3.20%,-0.10%,
CHF,"125,000","78,933","12,298,550,730","10,305","1,605,622,050","5,184","648,000,000","5,121","640,125,000",63,0.08%,0.61%,1.46%,"7,875,000","9,816,030",,NZDCHF,EURGBP,AUDNZD,USDCHF,AUDCHF,CADJPY,CADCHF,
JPY,"12,500,000","357,366","30,331,439,250","116,642","9,899,989,750","37,627","470,337,500,000","79,015","987,687,500,000","-41,388",-11.58%,-35.48%,3.46%,"-517,350,000,000","-3,512,806,500",,-0.70%,-2.00%,-3.30%,-3.90%,-4.00%,-6.30%,-24.30%,
SP500 (E-MINI),"265,000","2,018,365","534,866,725,000","679,113","179,964,945,000","129,279","34,258,935,000","549,834","145,706,010,000",-420555,-20.84%,-61.93%,-5.53%,"-111,447,075,000","-111,447,075,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","284,355","105,211,350,000","139,249","51,522,130,000","61,174","22,634,380,000","78,075","28,887,750,000",-16901,-5.94%,-12.14%,1.98%,"-6,253,370,000","-6,253,370,000",,,,,,,,,
US30 (YM),"200,000","84,505","16,901,000,000","25,698","5,139,600,000","9,048","1,809,600,000","16,650","3,330,000,000",-7602,-9%,-29.58%,2.10%,"-1,520,400,000","-1,520,400,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of August 19, 2025 - COT Leveraged Funds >>> valid for trades from August 25, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,170","28,891","2,836,229,470","21,159","2,077,179,030","8,676","851,722,920","12,483","1,225,456,110","-3,807",-13.18%,-17.99%,12.36%,"-373,733,190","-373,733,190",,GBPCAD,EURCAD,GBPJPY,EURJPY,AUDCAD,GBPNZD,GBPUSD,
EUR,"125,000","825,219","120,756,359,318","174,848","25,585,944,960","104,037","13,004,625,000","70,811","8,851,375,000","33,226",4.03%,19%,-1.95%,"4,153,250,000","4,862,043,645",,34.80%,33.70%,30.10%,29.00%,20.40%,19.80%,19.60%,
GBP,"62,500","219,831","18,625,731,053","106,032","8,983,826,280","64,243","4,015,187,500","41,789","2,611,812,500","22,454",10.21%,21.18%,-6.45%,"1,403,375,000","1,902,471,285",,CHFJPY,EURNZD,EURUSD,AUDJPY,USDCAD,NZDCAD,GBPAUD,
CAD,"100,000","220,859","15,986,878,715","69,942","5,062,751,670","18,015","1,801,500,000","51,927","5,192,700,000","-33,912",-15.35%,-48.49%,-5.37%,"-3,391,200,000","-2,454,720,120",,19.00%,18.70%,18.50%,15.60%,15.30%,15.10%,14.40%,
AUD,"100,000","185,901","12,107,732,130","62,727","4,085,409,510","28,954","2,895,400,000","33,773","3,377,300,000","-4,819",-2.59%,-7.68%,11.42%,"-481,900,000","-313,861,470",,EURAUD,GBPCHF,USDJPY,NZDJPY,EURCHF,AUDNZD,AUDUSD,
NZD,"100,000","47,495","2,815,788,570","21,844","1,295,043,384","8,920","892,000,000","12,924","1,292,400,000","-4,004",-8.43%,-18.33%,0.62%,"-400,400,000","-237,381,144",,13.30%,11.00%,10.50%,10.30%,9.90%,5.30%,5.20%,
CHF,"125,000","80,039","12,403,743,879","9,910","1,535,765,088","4,913","614,125,000","4,997","624,625,000",-84,-0.10%,-0.85%,18.60%,"-10,500,000","-13,017,585",,NZDUSD,EURGBP,AUDCHF,CADJPY,USDCHF,NZDCHF,CADCHF,
JPY,"12,500,000","348,982","29,619,847,250","111,346","9,450,491,750","33,996","424,950,000,000","77,350","966,875,000,000","-43,354",-12.42%,-38.94%,-7.20%,"-541,925,000,000","-3,679,670,750",,-0.20%,-1.10%,-3.40%,-4.80%,-8.60%,-8.70%,-23.80%,
SP500 (E-MINI),"265,000","1,974,585","523,265,025,000","647,769","171,658,785,000","141,214","37,421,710,000","506,555","134,237,075,000",-365341,-18.50%,-56.40%,2.93%,"-96,815,365,000","-96,815,365,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","289,577","107,143,490,000","132,677","49,090,490,000","56,969","21,078,530,000","75,708","28,011,960,000",-18739,-6.47%,-14.12%,-3.81%,"-6,933,430,000","-6,933,430,000",,,,,,,,,
US30 (YM),"200,000","85,223","17,044,600,000","26,940","5,388,000,000","9,203","1,840,600,000","17,737","3,547,400,000",-8534,-10.01%,-31.68%,-4.14%,"-1,706,800,000","-1,706,800,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of August 12, 2025 - COT Leveraged Funds >>> valid for trades from August 18, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,520","30,410","2,995,993,200","21,810","2,148,721,200","7,595","748,259,400","14,215","1,400,461,800","-6,620",-21.77%,-30.35%,-2.14%,"-652,202,400","-652,202,400",,GBPCAD,EURCAD,GBPJPY,GBPUSD,EURJPY,EURUSD,GBPCHF,
EUR,"125,000","824,972","120,115,923,200","166,790","24,284,624,000","100,864","12,608,000,000","65,926","8,240,750,000","34,938",4.24%,20.95%,1.73%,"4,367,250,000","5,086,972,800",,35.40%,32.00%,29.70%,29.00%,26.30%,25.70%,23.50%,
GBP,"62,500","216,082","18,156,965,306","99,039","8,322,061,472","63,204","3,950,250,000","35,835","2,239,687,500","27,369",12.67%,27.63%,-16.86%,"1,710,562,500","2,299,765,753",,GBPAUD,GBPNZD,EURCHF,EURAUD,EURNZD,NZDCAD,AUDCAD,
CAD,"100,000","221,109","16,077,498,717","71,332","5,186,763,716","20,286","2,028,600,000","51,046","5,104,600,000","-30,760",-13.91%,-43.12%,-2.47%,"-3,076,000,000","-2,236,651,880",,23.40%,23.30%,20.20%,20.00%,20.00%,12.10%,12.00%,
AUD,"100,000","171,294","11,164,429,038","50,764","3,308,645,228","20,533","2,053,300,000","30,231","3,023,100,000","-9,698",-5.66%,-19.10%,1.95%,"-969,800,000","-632,086,546",,USDCAD,NZDJPY,AUDJPY,CHFJPY,NZDUSD,AUDUSD,USDJPY,
NZD,"100,000","48,240","2,869,942,320","22,108","1,315,271,244","8,959","895,900,000","13,149","1,314,900,000","-4,190",-8.69%,-18.95%,14.95%,"-419,000,000","-249,275,670",,6.40%,6.40%,6.30%,6.10%,5.70%,5.60%,0.70%,
CHF,"125,000","80,415","12,448,644,075","11,029","1,707,344,345","4,442","555,250,000","555,250,000","823,375,000","-2,145",-2.67%,-19.45%,6.55%,"-268,125,000","-332,056,725",,NZDCHF,AUDCHF,AUDNZD,EURGBP,USDCHF,CADJPY,CADCHF,
JPY,"12,500,000","351,163","29,717,168,875","111,556","9,440,426,500","38,075","475,937,500,000","73,481","918,512,500,000","-35,406",-10.08%,-31.74%,-9.77%,"-442,575,000,000","-2,996,232,750",,0.30%,0.20%,-0.10%,-3.30%,-5.50%,-5.70%,-11.80%,
SP500 (E-MINI),"265,000","1,967,857","521,482,105,000","651,914","172,757,210,000","132,581","35,133,965,000","519,333","137,623,245,000",-386752,-19.65%,-59.33%,-6.56%,"-102,489,280,000","-102,489,280,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","303,576","112,323,120,000","157,952","58,442,240,000","70,831","26,207,470,000","87,121","32,234,770,000",-16290,-5.37%,-10.31%,0.77%,"-6,027,300,000","-6,027,300,000",,,,,,,,,
US30 (YM),"200,000","87,098","17,419,600,000","27,509","5,501,800,000","9,967","1,993,400,000","17,542","3,508,400,000",-7575,-8.70%,-27.54%,-5.39%,"-1,515,000,000","-1,515,000,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of August 5, 2025 - COT Leveraged Funds >>> valid for trades from August 11, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,780","30,064","2,969,721,920","21,468","2,120,609,040","7,706","761,198,680","13,762","1,359,410,360","-6,056",-20.14%,-28.21%,-14.11%,"-598,211,680","-598,211,680",,GBPCAD,GBPNZD,GBPUSD,GBPCHF,GBPJPY,GBPAUD,EURCAD,
EUR,"125,000","818,360","118,526,147,650","177,988","25,778,669,495","106,098","13,262,250,000","71,890","71,890","34,208",4.18%,19.22%,2.92%,"4,276,000,000","4,954,472,920",,42.60%,39.20%,36.40%,35.20%,33.20%,32.80%,29.90%,
GBP,"62,500","206,254","17,131,843,966","89,836","7,461,946,602","64,904","4,056,500,000","24,932","1,558,250,000","39,972",19.38%,44.49%,-3.97%,"2,498,250,000","3,320,149,267",,EURNZD,EURUSD,EURCHF,EURJPY,EURAUD,AUDCAD,AUDNZD,
CAD,"100,000","214,849","15,593,310,722","73,530","5,336,660,340","21,819","2,181,900,000","51,711","5,171,100,000","-29,892",-13.91%,-40.65%,5.50%,"-2,989,200,000","-2,169,501,576",,26.60%,23.70%,22.60%,20.60%,20.10%,9.80%,6.40%,
AUD,"100,000","163,900","10,602,854,900","49,720","3,216,436,520","19,628","1,962,800,000","30,092","3,009,200,000","-10,464",-6.38%,-21.05%,-1.22%,"-1,046,400,000","-676,926,624",,USDCAD,AUDUSD,NZDCAD,AUDCHF,AUDJPY,USDCHF,CHFJPY,
NZD,"100,000","48,090","2,844,138,780","19,996","1,182,603,432","6,609","660,900,000","13,387","1,338,700,000","-6,778",-14.09%,-33.90%,-4.60%,"-677,800,000","-400,864,476",,6.20%,3.60%,3.40%,2.50%,0.50%,-1.10%,-2.00%,
CHF,"125,000","79,837","12,412,358,186","14,287","2,221,217,749","5,286","660,750,000","9,001","1,125,125,000","-3,715",-4.65%,-26%,-11.83%,"-464,375,000","-577,575,694",,NZDUSD,USDJPY,NZDCHF,NZDJPY,CADCHF,CADJPY,EURGBP,
JPY,"12,500,000","337,378","28,634,957,750","98,532","8,362,903,500","38,441","480,512,500,000","60,091","751,137,500,000","-21,650",-6.42%,-21.97%,0.04%,"-270,625,000,000","-1,837,543,750",,-2.80%,-3.10%,-3.90%,-6.00%,-7.30%,-9.30%,-12.60%,
SP500 (E-MINI),"265,000","1,909,338","505,974,570,000","616,303","163,320,295,000","145,530","38,565,450,000","470,773","124,754,845,000",-325243,-17.03%,-52.77%,0.89%,"-86,189,395,000","-86,189,395,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","277,507","102,677,590,000","131,999","48,839,630,000","58,687","21,714,190,000","73,312","27,125,440,000",-14625,-5.27%,-11.08%,3.75%,"-5,411,250,000","-5,411,250,000",,,,,,,,,
US30 (YM),"200,000","87,993","17,598,600,000","28,453","5,690,600,000","11,075","2,215,000,000","17,378","3,475,600,000",-6303,-7.16%,-22.15%,-12.25%,"-1,260,600,000","-1,260,600,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 29, 2025 - COT Leveraged Funds >>> valid for trades from August 4, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,660","32,919","3,247,788,540","20,323","2,005,067,180","8,729","861,203,140","11,594","1,143,864,040","-2,865",-8.70%,-14.10%,-17.81%,"-282,660,900","-282,660,900",,GBPCAD,GBPNZD,GBPJPY,GBPAUD,GBPUSD,GBPCHF,EURCAD,
EUR,"125,000","828,577","121,767,675,920","189,338","27,825,112,480","110,100","13,762,500,000","79,238","9,904,750,000","30,862",3.72%,16.30%,0.18%,"3,857,750,000","4,535,479,520",,47.30%,38.90%,35.20%,34.10%,31.30%,31.30%,31.20%,
GBP,"62,500","207,879","17,463,005,319","98,441","8,269,597,731","73,071","4,566,937,500","25,370","1,585,625,000","47,701",22.95%,48.46%,-6.81%,"2,981,312,500","4,007,152,318",,EURNZD,EURJPY,EURAUD,USDCAD,EURUSD,EURCHF,AUDCAD,
CAD,"100,000","201,852","14,731,562,664","65,195","4,758,061,490","17,555","1,755,500,000","47,640","4,764,000,000","-30,085",-14.90%,-46.15%,-2.16%,"-3,008,500,000","-2,195,663,470",,22.80%,19.20%,18.10%,16.00%,15.20%,15.20%,13.20%,
AUD,"100,000","159,680","10,495,766,400","57,412","3,773,690,760","23,013","2,301,300,000","34,399","3,439,900,000","-11,386",-7.13%,-19.83%,-0.67%,"-1,138,600,000","-748,401,780",,NZDCAD,AUDNZD,USDJPY,CHFJPY,AUDJPY,USDCHF,AUDCHF,
NZD,"100,000","46,587","2,804,211,291","21,334","1,284,157,462","7,542","754,200,000","13,792","1,379,200,000","-6,250",-13.42%,-29.30%,8.80%,"-625,000,000","-376,206,250",,8.40%,4.70%,4.00%,3.90%,1.10%,0.00%,-2.80%,
CHF,"125,000","76,905","12,086,389,800","15,968","2,509,530,880","6,853","856,625,000","9,115","1,139,375,000","-2,262",-2.94%,-14.17%,9.42%,"-282,750,000","-355,495,920",,AUDUSD,NZDJPY,NZDUSD,NZDCHF,CADJPY,CADCHF,EURGBP,
JPY,"12,500,000","329,115","27,851,356,875","94,878","8,029,050,750","37,000","462,500,000,000","57,878","723,475,000,000","-20,878",-6.34%,-22.01%,-14.44%,"-260,975,000,000","-1,766,800,750",,-2.90%,-3.60%,-7.60%,-7.60%,-12.10%,-16.00%,-16.10%,
SP500 (E-MINI),"265,000","1,941,931","514,611,715,000","681,057","180,480,105,000","157,815","41,820,975,000","523,242","138,659,130,000",-365427,-18.82%,-53.66%,0.28%,"-96,838,155,000","-96,838,155,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","281,762","104,251,940,000","144,845","53,592,650,000","61,680","22,821,600,000","83,165","30,771,050,000",-21485,-7.63%,-14.83%,4.65%,"-7,949,450,000","-7,949,450,000",,,,,,,,,
US30 (YM),"200,000","86,736","17,347,200,000","26,759","5,351,800,000","12,055","2,411,000,000","14,704","2,940,800,000",-2649,-3.05%,-9.90%,-10.07%,"-529,800,000","-529,800,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 22, 2025 - COT Leveraged Funds >>> valid for trades from July 28, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"97,850","35,725","3,495,691,250","24,697","2,416,601,450","12,807","1,253,164,950","11,890","1,163,436,500",917,2.57%,3.71%,-9.58%,"89,728,450","89,728,450",,GBPCAD,GBPNZD,GBPCHF,GBPAUD,GBPJPY,EURCAD,EURNZD,
EUR,"125,000","843,447","122,623,487,786","176,211","25,618,215,971","102,310","12,788,750,000","73,901","9,237,625,000","28,409",3.37%,16.12%,-5.98%,"3,551,125,000","4,130,206,954",,49.60%,46.70%,39.40%,37.20%,31.40%,30.10%,27.10%,
GBP,"62,500","195,467","16,389,907,950","93,211","7,815,742,350","72,364","4,522,750,000","20,847","1,302,937,500","51,517",26.36%,55.27%,6.53%,"3,219,812,500","4,319,700,450",,GBPUSD,USDCAD,EURCHF,EURAUD,USDCHF,AUDCAD,EURJPY,
CAD,"100,000","200,895","14,638,214,175","69,625","5,073,225,625","19,500","1,950,000,000","50,125","5,012,500,000","-30,625",-15.24%,-43.99%,-3.37%,"-3,062,500,000","-2,231,490,625",,25.80%,23.90%,19.90%,17.60%,13.70%,12.40%,11.80%,
AUD,"100,000","161,394","10,510,138,674","63,611","4,142,411,931","25,713","2,571,300,000","37,898","3,789,800,000","-12,185",-7.55%,-19.16%,11.70%,"-1,218,500,000","-793,499,385",,AUDNZD,EURUSD,USDJPY,NZDCAD,AUDCHF,AUDJPY,NZDCHF,
